screen_name,tweet_id,tweet_date,tweet_time,tweet
KenyaPower_Care,822280173949173762,2017/1/20,3:10:45,"b'@Jap20 Kindly confirm your exact location,include a landmark and phone number.^BT'"
KenyaPower_Care,822279977513193472,2017/1/20,3:9:58,"b'@PeachezSez Hello,your ref number is 3138124,our technicians will address the issue.^BT'"
Jap20,822279885817348096,2017/1/20,3:9:36,"b'@KenyaPower_Care fluctuations, outages since last night, pangani area ac. 14105453949 help!'"
Evelyne_Muchiri,822279815688392704,2017/1/20,3:9:19,b'@KenyaPower_Care repairs should have resumed already aarrghh \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4'
KenyaPower_Care,822279480949538816,2017/1/20,3:8:0,"b'@Githemendu We are aware of the outage,The main line is off.Repairs resume this morning.We regret the inconvenience caused.^BT'"
KenyaPower_Care,822279293787144194,2017/1/20,3:7:15,b'@natebett_ The amount sent was enough to clear Accrued Fixed charge debts.Please add money for units.^BT'
KenyaPower_Care,822278801233154054,2017/1/20,3:5:18,"b'@Mjei_ Your ref number is 3138118,our technicians are working on a section of the line serving you,supply will be restored soon.^BT'"
KenyaPower_Care,822278336399470592,2017/1/20,3:3:27,b'@Evelyne_Muchiri The main line is off.Repairs resume this morning.We regret the inconvenience caused.^BT'
PeachezSez,822277081371394048,2017/1/20,2:58:28,"b""@KenyaPower_Care 04226747154 what's with the blackout you guys?? All night."""
Githemendu,822276950169452546,2017/1/20,2:57:56,"b'@KenyaPower_Care Morning,note that ac. no 2743329 and a large area of Buruburu have got no power since 00.24am,kindly act on that'"
Mjei_,822276030794764288,2017/1/20,2:54:17,b'@KenyaPower_Care shower baridi at this time aint cool. kindly restore power in south B 01450612534'
natebett_,822274502172246016,2017/1/20,2:48:13,"b""@KenyaPower_Care I topped up yesterday, till now I've not gotten tokens ."""
Mjei_,822274257438801920,2017/1/20,2:47:14,b'@KenyaPower_Care kindly restore power in south B 01450612534'
Evelyne_Muchiri,822270928163917826,2017/1/20,2:34:0,"b""@KenyaPower_Care good morning \nWhatsup in buruburu?We didn't have lights jana yote then we waking up to darkness leo"""
Buruklyn,822270097137995776,2017/1/20,2:30:42,b'@KenyaPower_Care woi sawa'
KenyaPower_Care,822269999494598656,2017/1/20,2:30:19,b'@Buruklyn The main line is off.Repairs resume this morning.We regret the inconvenience caused.^BT'
mwendea,822267676856827905,2017/1/20,2:21:5,b'@KenyaPower_Care How can you explain blackouts 2 mornings in a row in Buru Buru Ph 5? Get serious! What kind of a monopoly are you running?'
KenyaPower_Care,822267287218651137,2017/1/20,2:19:32,"b'@injugu Our technicians are working on a section of the line serving you,supply will be restored soon.^BT'"
Buruklyn,822267234840117249,2017/1/20,2:19:20,b'@KenyaPower_Care waking up to darkness in buru buru'
KenyaPower_Care,822266983735500805,2017/1/20,2:18:20,"b'@b9a4a60e115a4e6 Hello,your ref number is 3138099,our technicians will address the issue.^BT'"
Pam_psk,822265421076328450,2017/1/20,2:12:7,b'@MyGovKe @KenyaGovernors @Trade_Kenya @nhifkenya @KEPSA_KENYA @KRACare @KenyaFacts @EnergyMinK @KenyaPower_Care\xe2\x80\xa6 https://t.co/tjm8QZXrGM'
AggyK_,822265303828545536,2017/1/20,2:11:40,b'@KenyaPower_Care for two days?? yesterday and today???'
lynn_imali,822263061784432640,2017/1/20,2:2:45,"b""@KenyaPower @KenyaPower_Care And please don't ask for my account number mkitaka landmarks ndio hiyo nimewaambia jog\xe2\x80\xa6 https://t.co/8VPHnaBzqO"""
lynn_imali,822262345313452033,2017/1/20,1:59:54,b'@KenyaPower @KenyaPower_Care Your constant maintenance and power black outs have become way too much in this area a\xe2\x80\xa6 https://t.co/rkbLd080AV'
b9a4a60e115a4e6,822261768143650816,2017/1/20,1:57:37,b'@KenyaPower_Care 37155301007 in kahawa sukari/mwihoko. Since 8.15pm lights are dim 2nd day in a row lights go at 8.15pm'
lynn_imali,822261117783330817,2017/1/20,1:55:2,b'@KenyaPower @KenyaPower_Care How can we not have power literally hours after a scheduled maintenance. We have food\xe2\x80\xa6 https://t.co/UCEiqi50P9'
injugu,822260365216153601,2017/1/20,1:52:2,b'@KenyaPower_Care No power again after a whole day of maintenance. A/c 22119616666 Buruburu phase 5'
lynn_imali,822260363274108928,2017/1/20,1:52:2,b'@KenyaPower @KenyaPower_Care We have had blackouts since Tuesday night. The lights come back for hours then its off\xe2\x80\xa6 https://t.co/1wUZOKJofs'
lynn_imali,822259470692732930,2017/1/20,1:48:29,"b'@KenyaPower @KenyaPower_Care what the hell is wrong with the line that serves jogoo rd, mbotela, maringo and buruburu.'"
ustinovtvj1977,822258469856247809,2017/1/20,1:44:30,b'RT @Arnold22894973: @KenyaPower_Care my phone no 0713800456.  transaction reference is MID:00001214  TID:10754082  on date 16-01-2017'
KenyaPower_Care,822258017450258432,2017/1/20,1:42:42,b'@Wafunya Please confirm whether the supply is back.^BT'
KenyaPower_Care,822257920570167296,2017/1/20,1:42:19,"b'@NaijeriaToweett Hello,If supply has not not been restored,kindly provide your a/c number for assistance.^BT'"
KenyaPower_Care,822257751397109761,2017/1/20,1:41:39,b'@jaymiethuoz Has supply normalized?Please confirm.^BT'
KenyaPower_Care,822257663127986181,2017/1/20,1:41:18,b'@mukadamaiyo Please confirm whether the supply is back.^BT'
KenyaPower_Care,822257503954235396,2017/1/20,1:40:40,b'@NgonziR Please confirm whether the supply is back.^BT'
KenyaPower_Care,822257305953636352,2017/1/20,1:39:53,b'@gmas_ Feedback appreciated.^BT'
KenyaPower_Care,822257186546089984,2017/1/20,1:39:24,"b'@RoyOrwa If supply has not normalized,kindly provide your a/c number for assistance.^BT'"
KenyaPower_Care,822257010146213888,2017/1/20,1:38:42,b'@JacksonOngere Has supply normalized?Please confirm.^BT'
KenyaPower_Care,822256796723281920,2017/1/20,1:37:51,"b'@ti_ngari Our crew is working on the line-in the interim,switch off your electronic appliances to prevent damage.^BT'"
KenyaPower_Care,822256485879136256,2017/1/20,1:36:37,"b'@missy_karey We are aware of the outage,The main line is off.Repairs resume this morning.We regret the inconvenience caused.^BT'"
KenyaPower_Care,822256230110556161,2017/1/20,1:35:36,b'@AggyK_ Include your a/c number so that we can book the issue and send help.^BT'
AggyK_,822255398442962944,2017/1/20,1:32:18,"b""@KenyaPower_Care no power again today in buru 2, seriously what's wrong?"""
missy_karey,822250784226217984,2017/1/20,1:13:58,"b""@kenyapower_care @tafao power was only back for a few hours, we're back to darkness! Buru phase 3 Rabai Rd area."""
missy_karey,822250479778484224,2017/1/20,1:12:45,"b""@kenyapower_care @tafao power was only back for a few hours, we're back to darkness!"""
ti_ngari,822237841220661248,2017/1/20,0:22:32,b'@KenyaPower_Care @KenyaPower Ngari:\n37165938764 with this kinda power surges we will loose all our electronics its behaving very strange!!!'
JacksonOngere,822236469611925506,2017/1/20,0:17:5,"b'@kenyapower_care we have been having low voltage since monday, acc. 607609-02, location at Ngere near Awasi.'"
RoyOrwa,822233229331722241,2017/1/20,0:4:12,b'@KenyaPower_Care Blackout at this time Tena Estate...seriously you people #Kplc...'
gmas_,822232667987001344,2017/1/20,0:1:59,"b'@KenyaPower_Care awesome, they r bak.'"
NgonziR,822232385517395968,2017/1/20,0:0:51,b'@KenyaPower_Care no power AC 274827-01. Kindly assist.'
gmas_,822231372576264192,2017/1/19,23:56:50,"b'@KenyaPower_Care out of lights at diamond park, balozi, south B'"
mukadamaiyo,822231202648195072,2017/1/19,23:56:9,b'@KenyaPower_Care no power in Umoja 1 kwani what is??'
jaymiethuoz,822230317327126530,2017/1/19,23:52:38,b'there is no power in buruburu ph 4 acc no 01451017337 @kenyapower_care'
NaijeriaToweett,822230301149687809,2017/1/19,23:52:34,b'@KenyaPower_Care green fields phase 7b power kaput.l!it flickered then heard th transformer go #kaput.... tuko gizani #forcedtosleep'
Wafunya,822229261482389509,2017/1/19,23:48:26,"b'Yoh @KenyaPower_Care, seriously? 2am blackout? Huku Searro Innercore tulikuwa tunaona inauguration buana.'"
jiggavaits,822225543991087108,2017/1/19,23:33:40,b'@Tafao @KenyaPower_Care this is now vexing..kindly sort it by dawn if possible'
komissarovaxuf1,822225513586556928,2017/1/19,23:33:33,"b'RT @vostiz: We dont have lights in our area Meter no : 14104054847, buruburu phase 2 next to kenol distributors @KenyaPowerAlert @KenyaPowe\xe2\x80\xa6'"
shiikow,822216299141074945,2017/1/19,22:56:56,b'@KenyaPower_Care wh@ do u gys do during maintenance  till 7pm yet lights zinapotea 3 hrs later..  no lights in buru  nkt'
KenyaPower_Care,822213789814759424,2017/1/19,22:46:58,b'@Tafao We have notified our technical crew.They will check.^BT'
KenyaPower_Care,822213554564726784,2017/1/19,22:46:2,"b'@yvonneotieno9 Provide the previous a/c no.,date of installation of the prepaid mtr&amp;contact details,the meter will be activated^BT'"
KenyaPower_Care,822212561974292483,2017/1/19,22:42:5,"b""@raey_icee You're welcome.^BT"""
Wow1World,822203771006709760,2017/1/19,22:7:9,"b""RT @EManyikah: Yes, it's so disappointing! A whole day without power with funny excuses @KenyaPower_Care https://t.co/iwlniv6k1F"""
Tafao,822200575878164484,2017/1/19,21:54:27,b'@KenyaPower_Care Power is off after day long scheduled maintenance. ..12.30am 20.01.17 for record.'
yvonneotieno9,822198563400806402,2017/1/19,21:46:27,b'@KenyaPower_Care could you please activate my token MTR no 37174693178'
Shalliuq,822195002222714880,2017/1/19,21:32:18,b'@KenyaPower_Care are on some sort of power rationing?? Lights have gone again. Barely 5hrs of power'
raey_icee,822193912555143169,2017/1/19,21:27:59,b'@kenyapower_care  thanks !'
KenyaPower_Care,822192685868023808,2017/1/19,21:23:6,b'@toxton Token no.0566-2334-0009-1536-6920 (shs.200)^BT'
KenyaPower_Care,822192501226409990,2017/1/19,21:22:22,"b""@PeterCNgugi Please give us the Meter number and we'll check.^BT"""
KenyaPower_Care,822192269264646144,2017/1/19,21:21:27,"b'@EManyikah We are experiencing delays with token generation,our technicians are working on it.^BT'"
KenyaPower_Care,822191712302985217,2017/1/19,21:19:14,"b""@oscar_tulu Noted,We'll correct the error and send the token number after 3 (working) days.^BT"""
KenyaPower_Care,822190647360757761,2017/1/19,21:15:0,b'@MsGeeNyagah Token o.6101-3083-9215-3336-1312 (13.80kwh)^BT'
KenyaPower_Care,822190436810952710,2017/1/19,21:14:10,b'@Philpeso Token no.3509-2365-6097-4334-5975 (49.60kwh)^BT'
KenyaPower_Care,822188793390366723,2017/1/19,21:7:38,"b""@Leonardmachari4 We don't have a timeline for resolution at the moment.^BT"""
KenyaPower_Care,822188468335939585,2017/1/19,21:6:21,b'@OEvansodero Thank you.Good night.^BT'
oscar_tulu,822187549569482752,2017/1/19,21:2:41,"b'@KenyaPower_Care  Mtr No : 37155358848 is unknown or is invalid ,...\nThe valid one is 37155859848'"
EManyikah,822187502450708480,2017/1/19,21:2:30,"b""@KenyaPower_Care I have received this error message after trying to buy units! What's up? @KenyaPower https://t.co/tD1RpMf9R0"""
oscar_tulu,822187370829250560,2017/1/19,21:1:59,"b'@KenyaPower_Care Mtr No : 37155358848 is unknown or is invalid ,...\nThe valid one is 37155859848'"
KenyaPower_Care,822187256731631619,2017/1/19,21:1:32,"b'@DenisChurr We are experiencing delays with token generation,our technicians are working on it.^BT'"
KenyaPower_Care,822186687249915906,2017/1/19,20:59:16,"b'@poetteardrops Go to Paybill,enter paybill no.888880,your meter no.,amount of money,confirm and send.^BT'"
KenyaPower_Care,822186378964467713,2017/1/19,20:58:2,b'@wambuguG Please confirm the meter number.^BT'
PeterCNgugi,822184319347212292,2017/1/19,20:49:51,b'@KenyaPower_Care @KenyaPower please help. Not received token for mpesa transaction LAJ2U2D9PI'
toxton,822183240526086144,2017/1/19,20:45:34,b'@KenyaPower_Care  hi ac no 01450060197 kindly send token thanx'
Anntoh__,822182662123192320,2017/1/19,20:43:16,"b'RT @_Kylaxx: Nigga unaishi Githurai!!! \xf0\x9f\x98\x82 \xf0\x9f\x98\x82\xf0\x9f\x98\x82""@Anntoh__: Hi @KenyaPower_Care. We have power in Karen. Thanks.""'"
Anntoh__,822182474289709056,2017/1/19,20:42:31,b'RT @Jerriesam: @KenyaPower_Care @Anntoh__ the guy is from Karen mpee this rich kid lights back lol'
Philpeso,822180253472788481,2017/1/19,20:33:42,"b'@KenyaPower_Care purchased tokens for Mtr No: 01450804677 and received the following ,Token generation failed,Please contact KPLC'"
GichuruDenis,822179910265569282,2017/1/19,20:32:20,"b'@KenyaPower_Care Due amt on meters 14246119391,14246119458,14246119409,14246119284,14246119516,14246119524,14246119359,14246119342'"
Leonardmachari4,822177219854397441,2017/1/19,20:21:39,"b'@KenyaPower_Care after 3days of agony without power,you havent even come to see the area.poor service delivery'"
DenisChurr,822177200334061568,2017/1/19,20:21:34,b'@KenyaPower_Care i bought tokens for a wrong meter 14246119358 instead of 14246119458. how does one reverse such a transaction?'
OEvansodero,822177099125506048,2017/1/19,20:21:10,b'@KenyaPower_Care rectified'
poetteardrops,822176812025397249,2017/1/19,20:20:1,b'@kenyapower_care I need an assistance how do I lipa na mpesa to buy token.....I need the pay bill no'
DenisChurr,822174876777713668,2017/1/19,20:12:20,"b'@KenyaPower_Care tokens not received for meter no.14246119391,14246119438 for shs 350 each'"
wambuguG,822174281383772165,2017/1/19,20:9:58,b'@KenyaPower_Care my power is dim..coming on and off from yesterday.please help restore 14223819024'
MsGeeNyagah,822173951107432448,2017/1/19,20:8:39,"b'@KenyaPower_Care kindly give token number for Mtr No: 14105670807. Reply says ""Token generation failed,Please contact KPLC""'"
DenisChurr,822172509311238144,2017/1/19,20:2:56,b'@KenyaPower_Care \xf0\x9f\x99\x83why is it taking this long to get the amt due'
njihiakelvin,822171756588920832,2017/1/19,19:59:56,b'@kenyapower_care are you are aware there power blackout in kasarani 2 day in a low.'
Rashband5,822171735302819841,2017/1/19,19:59:51,b'@KenyaPower_Care not yet back'
gikkugix,822171233693339651,2017/1/19,19:57:51,b'@KenyaPower_Care 4494366-01.'
bethgmiriti,822170830755037184,2017/1/19,19:56:15,b'@KenyaPower_Care hi we dont have power in some houses in Umoja since 8.00pm. My a/c number is 01452236571.'
Leonardmachari4,822170370220363777,2017/1/19,19:54:26,b'@kenyapower_care give us the time frame then'
nellmandela,822169715246268417,2017/1/19,19:51:49,"b""@KenyaPower_Care I'm using a post paid account and want to move to a pre paid subscription(token) please assist on how I can do that"""
Wachira_John,822169166912307201,2017/1/19,19:49:39,"b'@KenyaPower_Care I got this\nMtr No: 14228500592 ,Token generation failed,Please contact KPLC'"
AgGwassi,822168068034101249,2017/1/19,19:45:17,"b""@KenyaPower_Care pls sort 'token generation failure' #01450213374"""
DenisChurr,822167851201130496,2017/1/19,19:44:25,b'@KenyaPower_Care still waiting for the due amounts on the meter numbers indicated.thank you.'
liimuthui,822167766610407424,2017/1/19,19:44:5,"b""@KenyaPower_Care . No power again! What's going on?? AC no is 3056012. Would you please respond"""
the_nairobian,822167724054953984,2017/1/19,19:43:55,"b'@KenyaPower_Care Hi, kindly assist with this error. Mtr No: 14107322944 ,Token generation failed, Please contact KPLC. I used 888880 paybill'"
Ole_Arsenal,822167327735185408,2017/1/19,19:42:20,b'@KenyaPower_Care  the transformer serving my line just exploded...  Ac. 37165788235'
KevinMuragz,822166761307013121,2017/1/19,19:40:5,"b""@KenyaPower_Care this has been happening for about 5 minutes now. What's up? Huku ni Kitengela https://t.co/hXWhfNP5kZ"""
KenyaPower_Care,822166572005490689,2017/1/19,19:39:20,b'@okooedu Please include your a/c number so that we can book the issue and send help.^BT'
JodecciV,822166182585368577,2017/1/19,19:37:47,"b'@KenyaPower_Care Kindly assist \nMtr No: 14244337680 ,Token generation failed,Please contact KPLC'"
hubawinc,822166051785940994,2017/1/19,19:37:16,"b""@KenyaPower_Care Hi team, please see below response and assist\n'Mtr No: 37169436625 ,Token generation failed,Please contact KPLC'"""
Qinyanjui,822165876250124288,2017/1/19,19:36:34,b'@KenyaPower_Care check again'
KenyaPower_Care,822165836274302976,2017/1/19,19:36:25,b'@Rashband5 Please confirm whether the supply is back.^BT'
KenyaPower_Care,822165607596572673,2017/1/19,19:35:30,"b'@Husseinali2011 If supply has not not been restored,kindly provide your a/c number for assistance.^BT'"
KenyaPower_Care,822165475266269186,2017/1/19,19:34:59,b'@AmosTembur Which platform did you use to send the money?^BT'
InnocentWangia,822165429573525504,2017/1/19,19:34:48,"b'@KenyaPower_Care 0707582432, ST. JUDE NAPARA SECONDARY SCHOOL.'"
y_askari,822165395184369665,2017/1/19,19:34:39,"b'@KenyaPower_Care Hi, I bought token for mtr no 14240055757 &amp; the responce was token generation failed..Kindly assist @ConsumersKenya'"
InnocentWangia,822165030628114432,2017/1/19,19:33:13,b'@KenyaPower_Care Kuna power rationing Bungoma and you have not gazetted!!! Really.........'
KenyaPower_Care,822164657112829952,2017/1/19,19:31:43,b'@gikkugix Please include your a/c number so that we can book the issue and send help.^BT'
KenyaPower_Care,822164370994171904,2017/1/19,19:30:35,"b""@empres_kay Give us the meter number and we'll check.^BT"""
DenisChurr,822163875550416900,2017/1/19,19:28:37,"b""@KenyaPower_Care what's due on meter nos.14246119391,14246119458,14246119409,14246119284,14246119516,14246119524,14246119359,14246119342."""
mic_isanda,822163204411392000,2017/1/19,19:25:57,b'@KenyaPower_Care same rpoblem again today. Low voltage/fluctuations all day. Clayworks kasarani area meter no 37156429302.'
DLUDOGOLI,822162852547100673,2017/1/19,19:24:33,b'@KenyaPower_Care 2282276-01 no power since 1835hrs till now please help'
KenyaPower_Care,822162494722600960,2017/1/19,19:23:8,b'@Qinyanjui DM seen.^BT'
mwanikimakash,822162473247789056,2017/1/19,19:23:3,b'@kenyapower_care thank u no power since 2pm'
Wilsonndiri,822161627541815296,2017/1/19,19:19:41,b'@KenyaPower_Care not yet it is really irritating.  I need the power back please i have urgent wook b4 midnight on my pc'
DenisChurr,822161410658549761,2017/1/19,19:18:49,"b'@kenyapower_care whats due on meter no.14246119276,14246119466,14246119334 and 14246119292'"
DenisChurr,822161114167472128,2017/1/19,19:17:39,"b'@kenyapower_care whats due on meter nos.14246119391,14246119458,14246119409,14246119284,14246119516,14246119524,14246119359,14246119342.'"
ngure_moses,822160745244884992,2017/1/19,19:16:11,b'@KenyaPower_Care ati train za 120kph kutoka china inaleta stima kwa power grid'
DareToXavier,822160568136175616,2017/1/19,19:15:29,"b""@kenyaPower_care what's wrong with seasons Kasarani? Lights flickering on and off for the past hour."""
KenyaPower_Care,822160425391374338,2017/1/19,19:14:55,"b'@JoshuaMisoko If supply is still off,please give us your a/c number for help.^BT'"
KenyaPower_Care,822160293769973760,2017/1/19,19:14:23,b'@Wilsonndiri Has supply normalized?Please confirm.^BT'
mercie65,822159764964724736,2017/1/19,19:12:17,b'@KenyaPower_Care the lights were restored. Thanks.'
KenyaPower_Care,822159599545581570,2017/1/19,19:11:38,"b'@DonaldTumbo1 If supply has not normalized,kindly provide your a/c number for assistance.^BT'"
KenyaPower_Care,822159511716851719,2017/1/19,19:11:17,b'@tshimwai Please confirm whether the supply is back.^BT'
NickKattz,822159358503059456,2017/1/19,19:10:40,"b""@KenyaPower_Care It's in Utawala near Deliverance Church. 0705380945"""
peternjengz,822159326517329920,2017/1/19,19:10:33,b'@kenyapower_care the lights are dim and flickering account no.2334353 githurai 45'
KenyaPower_Care,822159259710394370,2017/1/19,19:10:17,b'@Chovumwashigadi Fixed charge for January 2017: shs.174.^BT'
ngure_moses,822158901391093761,2017/1/19,19:8:51,b'mien @KenyaPower_Care  kama kuna watu wanaenda kwa shetani ni nyinyi'
eddmuthomi,822158736726851584,2017/1/19,19:8:12,"b'@KenyaPower_Care without power since 2pm up to nw, maraba area kakamega..'"
mkenya_dorothy,822158627918282752,2017/1/19,19:7:46,b'@KenyaPower_Care if I pay my bill through Mpesa paybill how long does it take to reflect?'
Kyamah_Peter,822158441171054593,2017/1/19,19:7:1,b'@KenyaPower_Care Thanks hope this is addressed soon....'
KenyaPower_Care,822158262418243584,2017/1/19,19:6:19,b'@royalpets254 Please include your a/c number so that we can book the issue and send help.^BT'
KenyaPower_Care,822158131010699265,2017/1/19,19:5:48,b'@JessicaColaco Checking.^BT'
ElleDomina,822157964404523009,2017/1/19,19:5:8,"b""@KenyaPower_Care trying to call the customer care lines but they've been busy all evening. What other details do you need from me to assist?"""
KenyaPower_Care,822157877808926720,2017/1/19,19:4:47,b'@Kyamah_Peter We have notified our technical crew.They will check.^BT'
Kipchirrchirr,822157713908125696,2017/1/19,19:4:8,"b'Aye @KenyaPower_Care nmelala, mtaniasha mkirudisha lights on.'"
kepher_ochieng,822157413784711168,2017/1/19,19:2:57,b'@KenyaPower_Care how many units should I get for kshs 300/= ?'
KenyaPower_Care,822157205336195072,2017/1/19,19:2:7,"b""@njaug Those numbers are to many.Check the serial number of your meter,send it to us and we'll send you the correct a/c number.Thank you.^BT"""
bigchir,822156690275598337,2017/1/19,19:0:4,"b""@KenyaPower_Care it's the whole town. Maybe I should send an area code..."""
bryanmugeni09,822156627717607425,2017/1/19,18:59:49,b'@KenyaPower_Care metre no.37152480838 kindly do something lights on and off'
KenyaPower_Care,822156626316693507,2017/1/19,18:59:49,"b'@jimm_toxx Good evening,If supply is still off,please give us your a/c number for help.^BT'"
KenyaPower_Care,822156462755631104,2017/1/19,18:59:10,"b'@merciesmith Kindly confirm your exact location,include a landmark and phone number.^BT'"
KenyaPower_Care,822156272665509890,2017/1/19,18:58:24,b'@bigchir Include your a/c number so that we can book the issue and send help.^BT'
KenyaPower_Care,822156110119452672,2017/1/19,18:57:46,"b'@josmartwainaina If supply has not normalized,kindly provide your a/c number for assistance.^BT'"
NjugunaGakau,822156092394405888,2017/1/19,18:57:42,b'@kenyapower_care power is already back why cant you generate my token as you are saying'
KenyaPower_Care,822156016892649475,2017/1/19,18:57:24,b'@fullmzukah Your ref number is 3137990 our technicians are en route.^BT'
LashLau,822155653284237314,2017/1/19,18:55:57,b'@KenyaPower_Care 14242863463\n0719685025'
munened3,822155608484941824,2017/1/19,18:55:46,b'@KenyaPower_Care still waiting for the reference number'
KenyaPower_Care,822155512775147525,2017/1/19,18:55:23,"b'@johnluyo If supply has not normalized,kindly provide your a/c number for assistance.^BT'"
KenyaPower_Care,822155406713782274,2017/1/19,18:54:58,"b'@Nnetlymumbi If supply has not normalized,kindly provide your a/c number for assistance.^BT'"
joshua_pavlov,822155391165497348,2017/1/19,18:54:54,b'@KenyaPower_Care @joshua_pavlov ..Well I had already raised the issue.... Prepaid meter displaying the word BY PASS on the user interface'
munened3,822155189398470656,2017/1/19,18:54:6,b'RT @munened3: @KenyaPower_Care no power 04216520157 DJ flat affecting only 4 houses'
gkimotho,822155009735409669,2017/1/19,18:53:23,b'@KenyaPower_Care \xf0\x9f\x96\x92'
KenyaPower_Care,822154957742833664,2017/1/19,18:53:11,"b""@louis_mulema Kindly give us your a/c number and we'll follow up.^BT"""
KenyaPower_Care,822154848271560705,2017/1/19,18:52:45,"b""@Leonardmachari4 We've asked our crew to expedite.^BT"""
kevin_betevin,822154523468775425,2017/1/19,18:51:27,"b'@KenyaPower_Care i have bought token through mpesa for Mtr No: 01450313893 but i still cant get the token, 0712555663 is my number.'"
NjugunaGakau,822154298188558340,2017/1/19,18:50:34,b'@kenyapower_care why are you saying that my token cannot be proccessed my no. Is 0723028644'
KenyaPower_Care,822153902334373890,2017/1/19,18:48:59,"b""@ti_ngari Hi,please give us the a/c number and we'll check.^BT"""
Kyamah_Peter,822153683622359040,2017/1/19,18:48:7,"b'@KenyaPower_Care 3137870 reference number reported earlier this evening,please update on this.....'"
kahuguwambugu,822153620305117184,2017/1/19,18:47:52,b'@KenyaPower_Care after the repair now we have dim lights.pliiz check the line again'
mango_immortal,822153602793873408,2017/1/19,18:47:48,"b""@KenyaPower_Care Mtr No : 14228639531 Kahawa Sukari... We've been in darkness all day"""
MmarcusKe,822153449781493762,2017/1/19,18:47:11,b'@KenyaPower_Care kindly follow back i DM you some issue.  Thanks'
PurityAnna,822153312493518848,2017/1/19,18:46:39,"b""@kenyapower_care when will they check?\nplease note we've had no lights since morning"""
MaryKuira,822153293048741889,2017/1/19,18:46:34,"b""@KenyaPower_Care The power loss in Mwihoko is getting messy. On/off like there's some loose connections. HELP!"""
KenyaPower_Care,822153268084310017,2017/1/19,18:46:28,b'@CarolShia Duly noted.Thanks.^BT'
kahuguwambugu,822153248136196097,2017/1/19,18:46:23,b'@KenyaPower_Care you should chek the githurai again.After the repair now we have dim lights.something should be done.'
GeshomcSteppa,822153232734633986,2017/1/19,18:46:20,b'@KenyaPower_Care complaint ref: 3137917 street 7 ACK road kasarani Mwiki (around direct opposite Uchumi) no lights please help sort this out'
InzeraMercy,822153221468721153,2017/1/19,18:46:17,b'@KenyaPower_Care I have a meter number prepaid a/c: 22119681983'
aydie500,822153214258769920,2017/1/19,18:46:15,b'@KenyaPower @KenyaPower_Care yu did not put a light bulb up there did yu??? Cc @consumerskenya https://t.co/SwaJJsDIfN'
Marttynezz,822153079327952897,2017/1/19,18:45:43,b'@KenyaPower_Care Kindly do something before electrical damges occur.'
KenyaPower_Care,822153040253829126,2017/1/19,18:45:34,"b'@RayMunene Our technicians are working on a section of the line serving you,supply will be restored soon.^BT'"
KenyaPower_Care,822152853909336064,2017/1/19,18:44:49,b'@m_mugo88 Noted.^BT'
Marttynezz,822152820895969282,2017/1/19,18:44:42,"b""@KenyaPower_Care Good evening Kenya Power. After restoring power loss yeterday in Mw\xc3\xachoko area today, it's now behaving like disco lights."""
munened3,822152668261076996,2017/1/19,18:44:5,b'@KenyaPower_Care no power 04216520157 DJ flat affecting only 4 houses'
KenyaPower_Care,822152463310589953,2017/1/19,18:43:16,b'@Phiuhu We have notified our technical crew.They will check.^BT'
